Participant,Gender,Age,SpanL1,[Field-1]-alcohol-relatedword1,[Field-1]-alcohol-relatedword2,[Field-1]-alcohol-relatedword3,[Field-1]-arena-relatedword1,[Field-1]-arena-relatedword2,[Field-1]-arena-relatedword3,[Field-1]-casa-relatedword1,[Field-1]-casa-relatedword2,[Field-1]-casa-relatedword3,[Field-1]-deporte-relatedword1,[Field-1]-deporte-relatedword2,[Field-1]-deporte-relatedword3,[Field-1]-doctor-relatedword1,[Field-1]-doctor-relatedword2,[Field-1]-doctor-relatedword3,[Field-1]-lechuga-relatedword1,[Field-1]-lechuga-relatedword2,[Field-1]-lechuga-relatedword3,[Field-1]-escoba-relatedword1,[Field-1]-escoba-relatedword2,[Field-1]-escoba-relatedword3,[Field-1]-foto-relatedword1,[Field-1]-foto-relatedword2,[Field-1]-foto-relatedword3,[Field-1]-descuento-relatedword1,[Field-1]-descuento-relatedword2,[Field-1]-descuento-relatedword3,[Field-1]-medicina-relatedword1,[Field-1]-medicina-relatedword2,[Field-1]-medicina-relatedword3,[Field-1]-reflejo-relatedword1,[Field-1]-reflejo-relatedword2,[Field-1]-reflejo-relatedword3,[Field-1]-soda-relatedword1,[Field-1]-soda-relatedword2,[Field-1]-soda-relatedword3,[Field-1]-verano-relatedword1,[Field-1]-verano-relatedword2,[Field-1]-verano-relatedword3,[Field-1]-volar-relatedword1,[Field-1]-volar-relatedword2,[Field-1]-volar-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-1]-head-relatedword1,[Field-1]-head-relatedword2,[Field-1]-head-relatedword3,[Field-1]-bank-relatedword1,[Field-1]-bank-relatedword2,[Field-1]-bank-relatedword3,[Field-1]-hotel-relatedword1,[Field-1]-hotel-relatedword2,[Field-1]-hotel-relatedword3,[Field-1]-car-relatedword1,[Field-1]-car-relatedword2,[Field-1]-car-relatedword3,[Field-1]-clothing-relatedword1,[Field-1]-clothing-relatedword2,[Field-1]-clothing-relatedword3,[Field-1]-exercise-relatedword1,[Field-1]-exercise-relatedword2,[Field-1]-exercise-relatedword3,[Field-1]-food-relatedword1,[Field-1]-food-relatedword2,[Field-1]-food-relatedword3,[Field-1]-drink-relatedword1,[Field-1]-drink-relatedword2,[Field-1]-drink-relatedword3,[Field-1]-injury-relatedword1,[Field-1]-injury-relatedword2,[Field-1]-injury-relatedword3,[Field-1]-mop-relatedword1,[Field-1]-mop-relatedword2,[Field-1]-mop-relatedword3,[Field-1]-plastic-relatedword1,[Field-1]-plastic-relatedword2,[Field-1]-plastic-relatedword3,[Field-1]-to_sleep-relatedword1,[Field-1]-to_sleep-relatedword2,[Field-1]-to_sleep-relatedword3,[Field-1]-tomato-relatedword1,[Field-1]-tomato-relatedword2,[Field-1]-tomato-relatedword3,[Field-1]-hot-relatedword1,[Field-1]-hot-relatedword2,[Field-1]-hot-relatedword3,[Field-1]-sweet-relatedword1,[Field-1]-sweet-relatedword2,[Field-1]-sweet-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country
sp176,Male,27,Yes,wine,spirit,moonshine,wrestling,sports,entertainment,dormir,relajarse,perros,tomado,robado,golpeando,nurse,health,illness,torta,comida,verde,tarea,trapeador,limpio,familia,perros,recuerdos,dinero,ahorro,barata,medico,pastillas,enfermo,espejo,bano,manana,cola,sprite,mt dew,caliente,sudor,brillante,avion,viaje,familia,banana,banana,banana,brain,intelligence,hair,money,gold,savings,travel,work,vacation,vehicle,expensive,debt,shirts,shorts,nude,workout,weights,running,hungry,dinner,breakfest,water,gatorade,oranges,hurt,ouch,pain,clean,chore,broom,fake,pollution,waste,tired,late,overworked,fruit,food,healthy,sweat,summer,terrible,chocolate,nerds,sugar,"English, Spanish",1,2,2,Yes,elementary school,3,No,Yes,"USA, for life 27 years"
sp177,Male,20,Yes,Vino,party,Liquor ,Playa,Desertó ,Vidrio ,Hogar,Family ,Techo,Football,Basketball ,Television ,Medico,Diplomado,Cirujano ,Ensalada ,Hamburguesa ,Sandwich ,Limpieza ,Organizado,Cepillo ,Camara,Recuerdo ,Fotógrafo ,Reducido,Rebajado,Mitad,Remedio,Medicamento ,Salud ,Espejo,Ventana ,Camara,Bebida ,Refresco,Helada ,Sol,Agua,Playa,Viajar,Festejar ,Paracaídas ,banana,banana,banana,Nose,Mouth,Eyes,Money,Atm,Safe,Sleep,Rest,Vacation ,Transportation ,Travel,Uber,Wool,Designer,Warm,Walk,Run,Push-up,Pizza,Hamburger,Hunger,Refresh,Energize,Cool,Blood,Pain,Scar,Water,Soap,Clean,Bottle,Materials,Cases,Relax,Dream,Bed,Juice,Salad ,Toppings ,Sun,Boiling water,Volcano,Candy,Chocolate ,Ice cream,"English, Spanish",,,,No,,,No,No,
sp178,Male,23,Yes,padre,comer,obesidad,futbol,deporte,fanatico,cuidad,dinero,carro,equipo,estadio,ciudad,salud,dinero,clinica,comer,dieta,peso,limpiar,abuela,casa,familia,carro,camara,comprar,caro,tienda,salud,caro,farmacia,feo,ropa,tienda,obesidad,tomar,sed,caliente,pantalon,nieve,avion,viajar,familia,banana,banana,banana,body,shoulder,hat,money,paycheck,job,bed,room,expensive,expensive,gas,tires,dress,clean,cool,health,weight,water,eat,health,vitamins,beer,thrist,water,walking,hospital,money,clean,house,kitchen,cup,beer,toy,energy,resting,tomorrow,health,vitamins,eat,shorts,ice,water,candy,teeth,sugar,"English , Spanish",Spanish,"English , Spanish","English , Spanish",Yes,Elementary School,18 years,No,Yes,Canada for 3 months
sp179,Female,29,Yes,drinks,bar,drunk,playa,sol,agua,hogar,familia,jardin,futbol,hombres,puntos,enfermo,medicina,dinero,tomate,espinaca,vegetales,barrer,trapo,limpiar,camera,sonrisa,vestido,dinero,tienda,barato,doctor,dinero,caro,persona,espejo,ojos,agua,jugo,coca,caliente,playa,sol,alas,pollo,pajaro,banana,banana,banana,hair,round,headache,money,safe,teller,expensive,stay,night,breaks,windows,drive,skirt,dress,makeup,running,park,summer,tomato,lettuce,hungry,bar,friends,alcohol,doctor,cut,bones,clean,broom,wet,beach,dangerous,recycle,pillow,bed,dream,lettuce,vegetables,cabbage,shower,sun,heat,candy,desserts,cookies,"Spanish, English",Spanish,Spanish,Spanish and English,Yes,"elementary school, middle, high school and college",15,Yes,No,
sp180,Male,30,Yes,vicio,borachar,tomar,desierto,playa,calor,familia,seguridad,dormir,campo,cancha,futbol,medecina,hospital,salud,verdura,hamburguesa,ensalada,limpiar,faena,responsabilidad,camara,momento,memoria,dinero,rebaja,compras,salud,enfermo,hospital,espejo,mirar,vidrio,bebida,refresco,tomar,playa,hielo,calor,pajaro,avion,viento,banana,banana,banana,eyes,hat,sunglasses,money,vault,security,vacation,temporary,luggage,transportation,stylish,gas,style,comfort,warmth,healthy,weights,cardio,necessity,delicious,hunger,water,refreshing,delicious,hurt,hospital,recovery,dirty,chore,cleaning,storage,bin,recycle,rest,calm,relaxing,salad,garden,sandwich,cold,heat,summer,sour,sugar,candy,"spanish, english",spanish,spanish/english,spanish/english,No,,,Yes,Yes,"america, born and raised here"
sp181,Female,33,Yes,cerveza,vino,ron,playa,suave,blanca,hogar,familia,habitacion,pelota,atleta,futbol,medicina,enfermera,enferma,ensalada,verdura,comida,limpiar,sucio,barrer,memoria,feliz,camara,tienda,comprar,mercancia,enferma,doctor,recuperar,espejo,vidrio,ventana,sed,tomar,refresco,calor,playa,sol,pajaro,avion,mariposa,banana,banana,banana,brain,thoughts,top,money,debt,loan,room,sleep,shelter,drive,fast,wheel,shirt,pants,dress,healthy,sweat,lifestyle,eat,banana,hunger,thirsty,water,swallow,hurt,pain,damage,clean,floor,scrub,waste,clear,nondisposable,rest,bed,recover,fruit,vegetable,food,sun,desert,fire,candy,cake,sugar,english and spanish,spanish,spanish and english,spanish and english,Yes,kindergarten was an ESOL class then I had regular classes,"I guess the one year and then just going to school, everything was in English",No,No,
sp182,Male,22,Yes,cerveza,trabajo,amigos,batalla,verano,playa,familia,caro,carro,musculo,zapatillas,camiseta,medicina,blanco,ayuda,alimento,verdura,verde,limpiar,madre,polvo,memorias,camara,pasear,barato,tienda,dinero,doctor,dinero,hospital,espejo,estima,cara,gaseosa,carbohydratos,gordo,sol,calor,vacaciones ,libertad,ave,aire,banana,banana,banana,brain,forehead,smart,money,rob,loans,sleep,bed,travel,loan,expensive,drive,expensive,high class,superficial,muscular,fit,thick,nutrition,meat,need,alcohol,hydration,water,blood,ambulance,help,water,clean,bathroom,bag,bottles,recycle,to dream,to lie down,dormant,red,blood,vegetable,women,summer,sun,candy,love,chocolate,English Spanish Japanese,Spanish,Spanish English,Spanish English Japanese,Yes,elementary school and middle school,2 years,No,Yes,"United States, live there now, 12 years"
sp183,Female,18,Yes,clean,drunk ,drink ,cake,cook,bake,family,people ,kids,plane,flight,bus,coat,medicine ,job,salad,grass,green,cleaning,kitchen ,house,polaroid ,iphone,camara  ,rumor,words,lie,doctor,pharmacy ,flu,mirror,see,clear,pop,drink,fizzy,warm,flowers ,season ,sky,wind,plane,banana,banana,banana,body,neck,bump,money ,scam,people,sleep,night,bed ,drive ,engine,paint,shirt ,cloth,pants ,healthy ,gym,sit-ups ,pasta,chew,hungry ,soda,water ,juice,broken ,hospital ,bandage ,kitchen,clean,wet,surgery,container,fan,go,where,need,red,vegetable ,garden ,heat,summer,grill,candy,sugar ,looks,spanish and english ,spanish,spanish,spanish ,Yes,elementary school,3 years,No,Yes,America since I was 3 and I currently live here
sp184,Male,25,Yes,Frío,Beber,Hielo,Playa,Sol,Caliente,Salvo,Familia,Renta,Divertid,Fútbol,Cansado,Enfermo,Cita,Factura,Comer,Ensalada,Saludable,Limpiar,Polvo,Trabajo,Sonrisa,Cámera,Feliz,Comprar,Ropa,Feliz,Salvo,Mejor,Curar,Yo,Cepillando,Brillante,Tomar,Delicioso,Frío,Caliente,Sol,Sudar,Avión,Serguridad,Seguro,banana,banana,banana,Person,Brain,Thought,Money,Bills,Worries,Sleep,Rent,Vacation,Transportation,Drive,Fun,Buy,Wear,Sale,Sweat,Tired,Water,Eat,Tasty,Delicious,Water,Cold,Fresh,Pain,Doctor,Medicine,Chores,Clean,House,Waste,Useful,Damaging,Home,Safe,Rest,Salad,Healthy,Eat,Sun,Sweat,Summer,Candy,Sugar,Tasty,"English, Spanish","English, Spanish","English, Spanish","English, Spanish",No,,,Yes,No,
sp185,Male,21,Yes,malo,borracho,alcoholico,playa,diversion,agua,hogar,familia,bien,futbol,pelota,amigos,salud,dinero,escuela,verdura,verde,cocina,limpiar,casa,mugre,camara,tecnologia,telefono,dinero,lugar,ropa,doctor,salud,sano,yo,persona,mi,dulce,mala,salud,invierno,otono,primavera,heroe,cielo,alto,banana,banana,banana,body,human,skull,money,safe,card,stay,vacation,holiday,keys,move,wheels,wear,pants,shirt,fit,strong,weak,eat,table,kitchen,swallow,cup,water,doctor,money,pain,clean,house,water,straw,bottles,ocean,dream,lay,bed,fruit,vegetable,ketchup,cold,warm,mild,sour,candy,chocolate,English and Spanish,Spanish,Spanish,Spanish,Yes,"Elementary, Middle and High School",Every year of school,No,No,
sp186,Male,22,Yes,tomar,borracho,fiesta,playa,jugar ,nadar,familia,tele ,carro,futbol,pelota,correr,medicina ,enfermera,hospital,ensalada,tomate ,comer,limpiar,piso,trapeador,camara, sonrisa,feliz,tienda,ropa,dinero,doctor ,enfermera,hospital,espejo,aqua,cara,agua,tomar,fiesta,piscina,playa,relajarse,avion,viajar,pajaro,banana ,banana ,banana ,hair,face,toes,robbery ,money,wealth,vacation ,relax,pool,truck,gas,travel,shirt,pants,dress,weights,lift,run,burger,pizza,tacos,soda,tea,water,hurt,broken,hospital ,sweep,clean,wash,bottles,recycle,reuse ,bed,pillow,relax,salad,lettuce,healthy,cold,summer,beach,sour,candy,fruit,"english, spanish",spanish,"spanish, english","spanish, english",Yes,elementary school ,15 years,No,No,
sp187,Female,35,Yes,Borracho ,Vodka ,Ardiente,Playa ,Calor,Sol,Familia,Felicidad ,Seguridad ,Entrenar ,Actividad,Movimientos ,Hospital ,Enfermera,Paciente,Huerta,Tierra ,Sembrar ,Bruja,Limpieza ,Volar,Memorias,Familia,Tiempos,Rebajas ,Tiendas,De compras,Químico ,Dosis ,Receta ,Espejo,Cara ,Modelo,Refresco,Burbujas ,Lata,Calor,Cumpleaños ,Felicidad,Pajaros,Avión,Viaje,Banana,Banana,Banana,Circumference ,Top,Director,Money,Savings,Investment,Stay,Luxury,Vacation,Motor,Freedom,Travel,Warmth,Style ,Protection ,Movement,Workout,Healthy,Nourishment,Vitamins,Necessary,Thirst,Refreshing,Enjoyment,Hurt,Recovery,Time,Bucket,Water,Soap,Storage ,Environment,One time use,Rest,Nap,Bed,Garden ,Food,Aroma,Summer,Steamy,Scorcher,Yummy,Sugar,Fantasy,English/ Spanish,English/Spanish,English/Spanish,English/Spanish,Yes,"High school,  college",15,Yes,Yes,America
sp188,Male,30,Yes,Cerveza,Borracho,Liquor,Espectaculo,Juego,Gente,Familia,Tele,Hogar,Futbol,Basketball,Box,Salud,Hospital,Cita,Ensalada,Sandwich,Verde,Limpar,Barer,Aburido,Camara,Imagen,Sonrisa,Barato,Ropa,Comida,Salud,Mejorar,Doctor,Llo,Imagen,Lo mismo,Pepsi,Bote,Bueno,Calor,Picina,Playa,Avion,Pajaro,Cielo,banana,banana,banana,Hair,Hat,Round,Money,Deposit,Withdraw,Vacation,Not home,Bed,Drive,Fast,Travel,Pants,Shirt,Dress,Healthy,Sweat,Run,Good,Tacos,Love,Water,Soda,Refreshing,Hurt,Doctor,Hospital,Clean,Floor,Chores,Bottle,Container,Cheap,Rest,Dream,Recover,Salad,Sandwich,Red,Summer,Pool,Water,Candy,Cake,Good,"English, Spanish",Spanish,Spanish and english,Spanish and english,No,,,Yes,No,
sp189,Female,24,Yes,Fiesta,Bailar,Amigos,Playa,Pegajosa,Comezón ,Hogar,Familia,Privado,Futbol,Pelotas ,Correr,Salud,Trabajo,Hospital,Comida,Fresco,Verdura,Limpiar,Trabajo,Casa,Camara,Rollo,Revelado,Barato,Accesible,Viejo,Salud,Investigación ,Cura,Espejo,Igual,Imagen,Azucar,Dulce,Líquido ,Playa,Vacaciones,Feliz,Viaje,Aves,Avion,Banana,Banana,Banana,Person,Face,Top,Money,Debt,Transfer,Tribago,Luxury,Expensive,Fast,Travel,Gasoline,Warm,Fashion,Bulky,Sweat,Tired,Running,Hungry,Restaurant,Delicious,Refreshing,Thirsty,Liquid,Hospital,Hurt,Medicine,Clean,Weat,Soap,Barbie,Ziplock,Tupperware,Rest,Dream,Recharge,Fresh,Vegetable,Ketchup,Summer,Oven,Heat,Candy,Soda,Nice,"Spanish, English, Portuguese",Spanish,Spanish,Spanish,Yes,Elementary and middle school,8 years,Yes,No,
sp190,Female,19,Yes,borracho,cerveza,fiesta,playa,niños,pescados,caro,baño,rentar,futbol,jugadores,entrenar,enfermo,pediatra,officina,repollo,comida,jitomate,limpiar,casa,trapo,familia,telefono,camara,dinero,barato,ropa,vitamina,enfermo,dormido,espejo,pensar,mirar,bebida,agua,tomar,jugar,sol,caliente,pajaro,nuves,cielo,banana,banana,banana,eyes,ears,nise,money,credit,card,sleep,housekeeping ,room,wheels,window,drive,shorts,shirt,shoes,healthy,water,gym,water,eat,eggs,juice,water,eat,medicine,sick,hurt,broom,clean,house,metal,aluminum ,cardboard ,bed,room,blanket,lettuce,vegetable ,eat,cold,sun,warm,candy,icecream,nice,"Spanish, English",Spanish,english/Spanish,English/Spanish,No,,,No,No,
sp191,Female,19,Yes,tequila,cerveza,tirita,playa,pescado,coco,puerta,lavanderia,casuela,futbol,beisbol,futbol americano,medicina,temperatura,dinero,ensalada,repollo,tierra,limpiar,mapiar,basura,familia,amiguis,camera,dinero,ropa,banco,daño,doctor,curita,espejo,agua,acoiris,coca,jarrito,bebida,mexico,playa,nadando,pajaro,aviones,abeja,banana,banana,banana,tails,hair,dandruff,money,loan,interest,soap,pool,bed,payment,tires,wheels,sewing,shorts,blanket,dumbell,treadmill,sweat,tacos,burritos,empanadas,soda,icee,boba,cast,wheelchair,hospital,clean,fabuloso,restaurant,bottles,pen,gatorade,bed,tired,blanket,salad,spaghetti,panini,cold,ramen,summer,candy,boba,cookies,english and spanish,spanish,english and spanish,english and spanish,Yes,High school and college,"Umm, around 2 years",Yes,Yes,"United States, for 3 months"
sp192,Female,26,Yes,fiesta,alcholico,enfermo,mar,sal,cafe,hogar,familia,dormitorio,futbol,athletico,actividades,estudiado,collegio,medico,verduras,vegetales,verde,limpiar,barer,aspirar,fotografo,camara,fotographia,barato,venta,dinero,enfermo,antibioticos,remedios,espejo,mirar,sombra,azucar,refresco,sed,calor,playa,sudar,avion,acender,saltar,banana,banana,banana,brain,hair,skull,money,scam,fraud,bed,rest,travel,auto,transportation,location,material,fabrics,sweing,workout,run,weights,meal,dinner,needs,alcohol,water,thirst,blood,pain,hurt,clean,broom,wet,trash,chemicals,recycle,bed,rest,night,vegetables,red,salsa,summer,sweat,heat,sugar,cane,syrup,English and Spanish,1,2,2,Yes,preschool,12,Yes,Yes,United States
sp193,Male,25,Yes,peda,amigos,shots,playa,voleibol,mar,mama,cuarto,familia,futbol,basquet,natacion,hospital,enfermera,alivio,tortuga,conejo,ensalada,limpieza,recogedor,basura,recuerdo,aventura,diversion,ahorro,compras,ropa,marihuana,tylenol,tequila,espejo,baño,guapo,manzanita,refrescante,cena,alberca,pedas,amigos,avion,capitan,pajaro,banana,banana,banana,hair,mouth,brain,robbers,money,tellers,motel,holiday,inn,engine,roadtrip,accelerate,shirt,coat,sweater,sweat,movement,fun,sushi,pasta,fries,water,margarita,daquiri,sports,accident,therapy,floor,dirty,water,reuse,reduce,recycle,comfort,bed,night,potato,ketchup,sandwich,girlfriend,summer,arizona,candy,bbq,chocolate,"Spanish, English",Spanish,Spanish,Spanish,Yes,Starting in primary school and every year until graduating high school.,about 15 years,Yes,Yes,"I live in the USA, have lived here my whole life (25 years)"
sp194,Female,24,Yes,botella,vodka ,alcoholico ,playa,sandalias ,sol,muebles ,carpeta,mesa,futbol ,pelotas,correr ,hospital ,medicina ,cirugia ,ensalada,tomates ,verde,limpiar,trapeador,suelo ,camara ,fotografía ,albumes ,tienda ,dinero ,rebaja,doctor,hospital,enfermera,espejo ,apariencia ,reflexion ,cola ,dientes ,azúcar ,playa,arena,sol,avion ,pájaros ,alas,banana,banana,banana,shoulders ,neck ,hair ,money,robbery ,account,rooms ,reservation ,service,tires,steering wheel ,horn ,pants,shirts,shoes,running,gym,tennis ,vegan ,cake ,bread,water,soda,alcohol ,blood,hospital,break ,cleaning,floors,broom ,surgery ,trash ,reusable ,bed,moon,snoring,red,fruit,salad,sun,heat,humidity ,candy ,sugar ,cake,English and Spanish ,spanish ,English and Spanish ,English and Spanish ,No,,,No,Yes,USA 22years 
sp195,Female,23,Yes,beber,licor,bar,playa,polvo,mar,hogar ,residencia,yarda,juego,partido,futbol,enfermo,enfermera,medicina,romana,ensalada,verde,limpio,palo,sucio,camera,video,recuerdos,rebaja,reembolso,tienda,doctor,infermo,hospital,espejo,reflexion,cristal,refresco,frio,bicarbonato,sol,playa,alberca,avion,pajarro,nubes,banana,banana,banana,hair,shampoo,hat,atm,dollar,deposit,motel,vacation,housekeeping,tires,wheel,gas pedal,jeans,shirts,shoes,run,jog,walk,dairy,meats,vegetables,glass,soda,juice,hurt,wound,bandage,dirty,clean,wash,straw,forks,spoons,rest,lay,relax,fruit,vegetable,slice,boil,steam,warm,chocolate,cake,sugar,English and Spanish,"English, Spanish","English, Spanish","English, Spanish",Yes,elementary,1 year,No,No,
sp196,Male,21,Yes,brazo,sanar,pierna ,tierra,calor,playa ,cuarto,familia,descansar ,juegos ,energia ,futbol ,enfermero,enfermera ,carera,verduras,comer,sembrar,recojedor,limpiar,cuarto,camara,memoria,telefono ,precio ,bajo,comprar,doctor,farmacia,enfermera ,yo,cara,cuerpo,galletas,comer,refresco,calor,playa,feliz,cielo,aire,alto,banana,banana,banana ,body,protect,helmet ,analyst,accountant ,money ,visit,trip,sleep,drive,trip,road,outerwear ,pants ,shirts,fitness,running,cardio ,water,mom,house ,coke ,water,thirsty,hospital ,mom,bandaid,clean,room,wipe,surgery ,bottle,pollution,recharge ,dream,work,potato,vegetable,fruit,danger,summer,coffee,sour,delicious ,chocolate,english and spanish ,spanish,english,english,No,,,Yes,Yes,united states 
sp197,Male,22,Yes,bebida,borracho,amigos,playa,plovo,viento,familia,cama,comida,fútbol,tenis,baloncesto,medicina,farmacia,lesión,hamburguesa,queso,sándwich,limpiar,barrer,basura,camara,polaroid,álbum,compra,dinero,credito,farmacia,médico,hospital,felicidad,diario,nostalgia,inca cola,burbujas,acido,sol,playa,protector solar,aire,avión,nubes,banana,banana,banana,brain,think,work,money,withdraw,steal,stay,friends,short,drive,road,free,closet,laundry,folded,long,sweat,health,hungry,kitchen,feed,lemonade,ice,cool,hurt,cry,hospital,clean,dirty,spots,bag,enviornment,waste,bed,dream,peace,sauce,garden,grow,sun,beach,suana,candy,nice,stomach,english and spanish,spanish,english and spanish,english and spanish,No,,,Yes,No,
sp198,Male,20,Yes,bebida,borracho,trago,playa,sol,mar,visita,hogar,dormir,baloncesto,deportista,juego,paciente,clinica,diagnostico,ensalada,tomate,vegetales,barrer,sucio,piso,camara,porta retrato,modelo,precio,compra,tienda,enfermera,enfermo,hospital,belleza,vanidad,reflexion,gaseosa,tomar,gas,calor,sol,playa,pajaro,avion,paisaje,banana,banana,banana,ears,eyes,brain,money,deposit,teller,guest,vacation,overnight,wheels,taxi,engine,outfit,shopping,style,fitness,trainer,gym,hungry,calories,meal,drunk,thirsty,parched,harmed,doctor,bandages,clean,sweep,water,bag,wrap,container,snooze,nap,dream,fries,fruit,ketchup,sunny,sunscreen,pool,candy,tooth,sour,"English, Spanish",Spanish,"Spanish, English","Spanish, English",Yes,"K-8, highschool, college",15,Yes,Yes,"United States, 20 years"
sp199,Male,28,Yes,liquido,substancia,veneno,piedras,rocas,granos,domicilio,hogar,hotel,baloncesto,futbol,natacion,psicologo,terapista,instructor,espinaca,vegetales,verduras,mapo,palo,frasada,imagen,cuadro,collage ,reducir,quitar,remover,aspirina,ibuprofen,pastilla,espejo,imagen,movimiento,gaseoso,jugo,liquido,invierno,primavera,otono,flotar,aire,alas,banana,banana,banana,arms,chest,legs,money,casino,account,motel,house,condo,bus,wagon,motorcycle,apparel,wardrobe ,garbs ,sports,workout,lifting,appetizer,entree,dessert,liquid,water,carbonated,wound,affliction,hurt,duster,vaccum,paper towel,paper,metal,sheet,dream,passed out,asleep,mushrooms,peppers,onions,sizzling,scorching,burning,candy,juice,dessert,"Spanish, English, Italian",Spanish,Spanish/English,Spanish/English,Yes,"Elementary, Middle, and High School",12+ years,No,Yes,The United Kingdom for a week
