Participant,Gender,Age,SpanL1,[Field-1]-agua-relatedword1,[Field-1]-agua-relatedword2,[Field-1]-agua-relatedword3,[Field-1]-banco-relatedword1,[Field-1]-banco-relatedword2,[Field-1]-banco-relatedword3,[Field-1]-carro-relatedword1,[Field-1]-carro-relatedword2,[Field-1]-carro-relatedword3,[Field-1]-comida-relatedword1,[Field-1]-comida-relatedword2,[Field-1]-comida-relatedword3,[Field-1]-hotel-relatedword1,[Field-1]-hotel-relatedword2,[Field-1]-hotel-relatedword3,[Field-1]-dormir-relatedword1,[Field-1]-dormir-relatedword2,[Field-1]-dormir-relatedword3,[Field-1]-ejercicio-relatedword1,[Field-1]-ejercicio-relatedword2,[Field-1]-ejercicio-relatedword3,[Field-1]-futbol-relatedword1,[Field-1]-futbol-relatedword2,[Field-1]-futbol-relatedword3,[Field-1]-hospital-relatedword1,[Field-1]-hospital-relatedword2,[Field-1]-hospital-relatedword3,[Field-1]-dulce-relatedword1,[Field-1]-dulce-relatedword2,[Field-1]-dulce-relatedword3,[Field-1]-mujer-relatedword1,[Field-1]-mujer-relatedword2,[Field-1]-mujer-relatedword3,[Field-1]-ropa-relatedword1,[Field-1]-ropa-relatedword2,[Field-1]-ropa-relatedword3,[Field-1]-sucio-relatedword1,[Field-1]-sucio-relatedword2,[Field-1]-sucio-relatedword3,[Field-1]-viaje-relatedword1,[Field-1]-viaje-relatedword2,[Field-1]-viaje-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-1]-alcohol-relatedword1,[Field-1]-alcohol-relatedword2,[Field-1]-alcohol-relatedword3,[Field-1]-art-relatedword1,[Field-1]-art-relatedword2,[Field-1]-art-relatedword3,[Field-1]-broom-relatedword1,[Field-1]-broom-relatedword2,[Field-1]-broom-relatedword3,[Field-1]-doctor-relatedword1,[Field-1]-doctor-relatedword2,[Field-1]-doctor-relatedword3,[Field-1]-apartment-relatedword1,[Field-1]-apartment-relatedword2,[Field-1]-apartment-relatedword3,[Field-1]-fun-relatedword1,[Field-1]-fun-relatedword2,[Field-1]-fun-relatedword3,[Field-1]-garbage-relatedword1,[Field-1]-garbage-relatedword2,[Field-1]-garbage-relatedword3,[Field-1]-grocery-relatedword1,[Field-1]-grocery-relatedword2,[Field-1]-grocery-relatedword3,[Field-1]-wet-relatedword1,[Field-1]-wet-relatedword2,[Field-1]-wet-relatedword3,[Field-1]-beef-relatedword1,[Field-1]-beef-relatedword2,[Field-1]-beef-relatedword3,[Field-1]-sand-relatedword1,[Field-1]-sand-relatedword2,[Field-1]-sand-relatedword3,[Field-1]-reflection-relatedword1,[Field-1]-reflection-relatedword2,[Field-1]-reflection-relatedword3,[Field-1]-sport-relatedword1,[Field-1]-sport-relatedword2,[Field-1]-sport-relatedword3,[Field-1]-to_fly-relatedword1,[Field-1]-to_fly-relatedword2,[Field-1]-to_fly-relatedword3,[Field-1]-to_hurt-relatedword1,[Field-1]-to_hurt-relatedword2,[Field-1]-to_hurt-relatedword3,[Field-1]-winter-relatedword1,[Field-1]-winter-relatedword2,[Field-1]-winter-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country
sp125,Male,20,Yes,potable,piscina,playa,dinero,choro,deposito,ruedas,puerta,ventana,picarones,anticucho,papa,cama,comida,ducha,suenos,cama,almuada,correr,zapatos,saltar,pelota,jugador,golazo,enfermo,cama,visitas,rico,azucar,manjar,maquillaje,vestido,cartera,polo,pantalones,boxers,tierra,apestoso,limpiar,maleta,avion,gastos,banana,banana,banana,drunk,poisoning,abuse,painting,drawing,canvas,handle,witch,sweep,apples,psychiatrist,therapist,complex,building,lease,park,games,friends,man,waste,dispose,store,shopping,aisle,water,shower,pool,ground,cow,hamburger,castle,beach,glass,mirror,water,spoon,ball,jersey,running,plane,biplane,bird,injure,offend,stab,harsh,famine,cold,"English, spanish","English, spanish","English, spanish","English, spanish",Yes,high school,the required amount for graduation,Yes,Yes,"United States, i live there now"
sp126,Male,22,Yes,liquido,claro,humedo,sentarse,comodo,alto,comodo,util,necesario,deliciosa ,caliente,abundante,relax,vacaciones,familia,descansar,relax,necesario,importante,saludable,rutina,diversion,alegria,distraccion,enfermedad,curacion,necesario,azucar,postre,cake,bella,agradable,trabajadora,necesaria ,importante,linda,desagradable,huele mal,basura,distraccion,relax,esparcimiento,amarillo,saludable,banana,bad,addiction,disease,intelectual,museum,Paris,clean,necessary,house,smart,intelligent,physician,place ,relax,family,happy,distraction,vacation,smells bad,container,black bags,food,fruits,vegetables,humid,water,annoying,food,delicious,red,beach,white,relax,meditation,thought,thinking,relax,important,exercise,vacation,relax,airplane,injure,damage,wound,cold,jacket,snow,English and Spanish,Spanish,English,English,Yes,school,18 years,Yes,Yes,I was born in the USA
sp127,Female,32,Yes,sed,tomar,vaso,dinero,cheques,fila,automovil,tren,viajar,comer,almuerzo,desayuno,dormir,cama,puerta,cama,cobija,sueno,salud,fisico,pesas,pelota,correr,patear,enfermo,doctor,medicamento,leche,pastel,fiesta,hombre,nina,rosado,camisa,pantalones,medias,limpiar,bano,recojer,volar,lejos,gozar,banana,banana,banana,drink,imbibe,glass,drawing,painting,visual,sweep,clean,mop,nurse,hospital,bed,house,abode,residence,games,laughing,playing,trash,dispose,junk,store,shopping,produce,water,soaked,wash,meat,pork,chicken,beach,soil,dirt,mirror,image,photo,football,soccer,play,glide,soar,air,wound,injure,pain,summer,spring,fall,"English, Spanish, French","Spanish, English","English, Spanish","English, Spanish, French",No,,,Yes,Yes,United States; I have lived here since I was 2 so 30 years
sp128,Female,19,No,tomar,frio,mojado,dinero,trabajo,carta,manejar,rueda,dormir,pizza,arroz,torta,cama,piscina,descanso,sueno,cama,cobija,correr,caminar,fatigado,television,juego,jugadores,fiebre,enfermo,trabajadores,torta,chocolate,bunuelo,vestido,bonita,cartera,pantalones,camisa,sueter,tierra,mancha,polvo,avion,carro,bus,banana,banana,banana,drink,tipsy,party,painting,drawing,music,clean,dust,floor,sick,ill,help,elevator,stairs,home,game,computer,friends,trashcan,trash,dirty,apple,bag,cart,water,drink,thirsty,meal,knife,eat,beach,water,sandcastle,mirror,double,glass,football,audience,game,plane,wings,air,pain,sad,malicious,cold,freeze,ice,"Spanish, English","Spanish, English","Spanish, English","Spanish, English",Yes,High school,4 years,Yes,No,
sp129,Female,22,Yes,hidratacion,sed,bebida,dinero,credito,debito,motor,gasolina,viaje,desayuno,almuerzo,cena,viaje,servicio,aventura,cama,noche,siesta,sudor,calorias,musculos,pelota,trofeo,deporte,enfermedades,dolor,dinero,caramelo,postre,chocolate,femenina,menstruacion,bebes,blusa,pantalones,medias,desorganizado,desagradable,basura,aeropuerto,vacaciones,maleta,banana,banana,banana,drink,intoxication,drunk,imagination,creativity,perception,clean,upkeep,organization,medicine,health,wellness,complex,rent,lease,adventure,engaging,travel,trash,used,gross,shopping,food,necessities,water,moist,damp,disagreement,cow,burger,castle,beach,ocean,mirror,looks,light,soccer,baseball,basketball,airplane,jetpack,travel,pain,injury,damage,cold,snow,jackets,"Spanish, English", Spanish,Spanish,Spanish,No,,,No,No,
sp130,Female,33,Yes,tomar,vaso,refrescante,dinero,seguro,ahorros,auto,viajar,conducir,plato,cena,hambre,viaje,vacación,dormir,cama,noche,cansada,peso,cansada,dificil ,juego,cancha,sábado,enfermo,doctor,enfermera,engordante,rico,frascos,hombre,niña,persona,camisa,pantalones,zapatos ,piso,barro,limpio,avion,auto,tren,banana,banana,banana,drinks,cocktail,beer,work,painting,museum,witch,clean,sweep,nurse,hospital,health,house,home,life,happy,amusement,joy,gross,dirty,trash,store,food,shopping,water,damp,moist,cow,food,meat,dirt,beach,ocean,pond,water,serene,football,basketball,baseball,travel,airplane,vacation ,angry,pain,mean,cold,summer,fall,"english, Spanish, French ",Spanish,"Spanish, english","Spanish, english",Yes,all through school,12,Yes,Yes,US
sp131,Female,23,Yes,oceano,rio,lago,dinero,depositar,cajero automático,llantas,timón,llaves,palto,tenedor,cuchillo,llaves,reservación,habitación,cama,almonhada,sabanas,sudor,pesos,correr,cancha,el gol,pelota,vendaje,termómetro,cama de hospital,galleta,pasteles,bizcocho,cartera,vestido,tacones,camisa,pantalones,vestido,cochino,feo,reguero,avión,maleta,boleto,banana,banana,banana,drink,proof,patron,paint,cnavas,color,dirt,clean,dust pan,bandaid,sick,check out,couch,window ,kitchen,happy,parks ,play,sinky,dirty,trash can,bag,food,check out,water,cup,ice,cow ,grill,milk,box,beach,volleyball ,mirror ,pond ,silver,ball,shoes,train,airplane,country,travel,violent,threat,punch,cold,jacket,pants,english and spanish,spanish and english,spanish and english,spanish and english,Yes,high school,4 years,Yes,No,
sp132,Male,18,Yes,Sed,Divertido,refrescante,Dinero,Metal,Guardia,Auto ,troka,Caro,Sustento,Caliente ,Delicioso,Casa,Sala,Habitacion,Acostar,Sonar,Levantar,Sudor,Peso,Musculo,Deporte,Pelota,Llorando,Medico,medicina,Ayuda,Azucar,Chocolate,Tamarindo ,Madre,Humano,Persona,Limpio,Sucio, detergente,Tierra,Polvo,Pegajoso,Mexico,Avion,Carro,banana,banana,banana,Drug,Poison,Fun,Creative,Expressive,Diverse,Clean,Witch,Sweep,Medicine,Help,Educated,Home,Shared,Small,Entertaiment,Socialization ,Expiriences,Trash,Smelly,Salvage,Store,Convenience  ,Food,Dry,Damp,Moist,Cow,Steak,Animal,Coarse,Grains,Glass,Mirror,Examination,Light,Tiring,Entertaining,Physical,Soar,Glide,Birds,pain,emotions,Bleed,Comfy,Cold,Rainy,"English, Spanish",Spanish,English and Spanish,English and Spanish ,Yes,middle school and high school ,7,Yes,No,
sp133,Male,25,Yes,refresco,tomada,frio,dinero,cuenta,depositar,rapido,gasolina,llantas,plato,tenedor,cuchara,relajar,servicio,cama,sueno,cama,almohada,musculos,sudor,cansado,divertido,deporte,pelota,enfermo,delicado,afectado,delicioso,caramelo,fruta,nina,hermana,madre,limpia,mojada,sucia,cochino,asqueroso,embarrado,visita,paseo,vuelo,banana,banana,banana,drunk,poisoning,hangover,drawing,color,utensils,cleaning,sweeping,trash,appointment,sick,emergency,home,complex,neighbors,happy,laughter,energetic,trash,gross,smelly,list,food,store,water,liquid,moist,stew,burger,steak,beach,quicksand,wet,mirror,glass ,image,practice,game,teams,wings,wind,ballon,punch,pain,damage,cold,snow,coat,English Spanish,2,,,Yes,high school,8,Yes,Yes,Canada 6 months
sp134,Female,21,Yes,nadar,beber,lavar,dinero,estafa,préstamo,viaje,gasolina,dinero,comer,cocinar,dinero,dinero,viaje,dormir,sueño,cama,ronquido,salud,fuerte,correr,bola,correr ,televisión,enfermo,médico,enfermera,cavidad,golosina,dinero,hermosa ,bebé,cueva,dinero,diseñador,pantalones,maloliente,perezoso,feo ,manejar,dinero,aviones,banana,banana,banana,party,drunk,money,painting,picture,artist,sweep,floor,clean,hospital,sick,surgery,sleep,live,house,party,happy,smiling,smell,dirty,trash can ,food,money,store,rain,shower,pool,eat,cook,cow,beach,desert,hot,mirror,face,self,football,baseball,basketball ,wings,airplane,heights,cry,pain,scar,snow,cold,rain ,spanish and english,spanish,english,english,No,,,Yes,No,
sp135,Female,20,Yes,fresca,botella,baño,parque,dinero,prestamo,llanta,puerta,caro,rapida,tacos,cocina,trivago,vacation,flight,cama,cobija,noche,sudor,correr,gymnasio,deporte,liga mx,pelota,emergency,doctor,patients,jugo,tienda,paleta,vestido,zapatillas,bonita,sucia,tienda,vestir,lavar,piso,manos,aeropuerto,familia,dinero,banana,banana,banana,drinks,party,friends,painting,canvas,paint,sweep,house,floor,pain,sickness,clinic,rooms,roommate,neighbor,play,friends,sun,trash,dispose,smelly,shopping cart,vegetables,cashier,rain,paper,dog,tacos,meat,butcher,beach,toes,sun,mirror,glass,shiny,play,kids,soccer,airplane,wind,height,knees,heart,pain,cold,snow,christmas,"English, Spanish",spanish,"English, Spanish","English, Spanish",No,,,No,No,
sp136,Male,33,Yes,vida,tomar,banarte,dinero,moneda,cuentas,bolante,troca,gasolina,enchiladas,tacos,sopes,dormir,viajar,cama,ojos,sonar,cama,macqina,fuerza,brincar,television,balon,juego,enfermo,muerte,doctor,dentista,chocolate,dulceria,sexo,pelo,tetas,sucia,lavar,calson,puerca,lodo,ropa,avion,mexico,cancun,banana,banana,banana,whiskey,tequila,vodka,paintings,music,piano,clean,duster,sweep,cure,visit,cancer,roof,rent,place,dance,exercise,sleep,odor,trash,pickup,food,drinks,shopping,pussy,water,salivating,stew,tacos,meat,castle,beach,sun,think,assessment,self worth,basket ball,baseball,soccer,plane,birds,turbulance ,pain,bleed,emotions,cold,chilli,freezing,spanish english ,spanish,spanish,english,No,,,No,Yes,us
sp137,Female,19,Yes,lago,playa,alberca,parque,dinero,ahorro,auto,coche,moto,tacos,pizza ,comer,descansar,vacacciones,dormir,cobija,almohada,sueno,pesas,sudor,caminar,balon,correr,patadas,ambulancia,enfermos,doctores,pan,azucar,fruta,vestido,maquillaje,mama,vestido,chanclas,pantalon,lodo,mancha,polvo,avion,maletas,vaccaciones,banana,banana,banana,drink,medicinal ,drunk,colorful,expressive,abstract,cleaning,cinderella,witch,nurse,hospital,dying,small,expensive,home,park,games,happy,disposal,dump,trash,store,shopping,food,swimming,water,lake,meat,fight,pork,beach ,desert,paper,mirror,water,myself,soccer,volleyball,football,witches,ghouls,planes,pain,anguish,blood,snow,white,cold,English and Spanish,spanish,Spanish and english,Spanish and english,Yes,Elementary,2 years,Yes,No,
sp138,Female,32,Yes,Fresca,De Jamaica ,Sed,Dinero,Plata,Narcos,Llanta,Coche,Tapete,Hambre,Abuelita ,Cuchara,Cancun,Playa,Cama,Cama,Sueño ,Alarma,Sudor,Bicicleta,Cansancio,Pelota,Pele,Brazil,Doctor ,Curita,Inyección ,Chicle,Chile,Tamarindo,Zapatilla,Pinta labios ,Vestido ,Terciopelo,Piel,Algodón ,Feo,Limpio,Pobre,Mar,Motocicleta ,Mochila,Banana,Banana,Banana,Drink ,Cocktail,Vodka,Pretentious,Miami,Louvre,Witch,Cleaning,Vacuum,Hospital,Bandage,Vaccine,Small,Cheap,House,Trip,Lottery,Brunch,Trash,Boyfriend,Junk,Bag,Amazon,Milk,Hair,Water ,Ocean,Problems,Conflict,Cow,Beach,Sahara,Camel ,Mirror,Pond,Mulan,Soccer,Football,Basketball,Plane,Bird,Superman,Painful,Psychopath,Gaslight,Cold,Snowflake,Chicago,"English, Spanish",Spanish,"English, Spanish","English,Spanish",Yes,Primary through high school,12,No,No,
sp139,Female,26,Yes,Mar,Bebida,Azul,Dinero,Cheque ,Depósitos ,Nuevo,Rojo,Rápido ,Rápida ,Casera,Deliciosa ,Cuarto,Costo,Pasillo,Roncando ,Sueño ,Despertar ,Aeróbico ,Correr ,Caminar ,Americano,Mexicano ,Soccer,Enfermedad ,Triste,Doctores ,Caramelo,Azúcar ,Rosa ,Fuerte,Inteligente ,Delicada ,Marcas,Nueva,Usada ,Mugre,Polvo,Basura ,Playa,Hotel,Avion,banana,banana,banana,Drinks,Sanitizer,Beverages,Creative,Fine,Performing,Cleaning,Witches,Sweeping,Hospital,Clinic,Sickness,Complex ,Number,Small,Party,Confetti ,Happy,Trash,Dumpster,Disposal ,Shopping,List,Produce,Water,Liquid,Soaking ,Food,Ravioles ,Cow,Beach,Grainy,Brown,Water,Mirror,Window,Vehicle,Soccer,Football,Plane,Bird,Sky,Someone,Yourself,Others,Cold,Snow,Frost,English and Spanish,Spanish,Spanish,English and Spanish,No,,,Yes,Yes,Live in the United States
sp140,Female,21,Yes,Mar,Lago,Lluvia ,Dinero,transferencia ,Efectivo,Vehiculo,Troka,Licencia ,Plato,Restaurantes ,Cocina ,Viajes,Vacaciones ,Cama,Suenos,Noche,Descansar ,Sudor,Calor,Aire,Pelota,Juego,Jugadores profesionales ,Enfermos,Muertes,Doctores ,Pasteles,Galletas,Cafe,Senora,Vestido,Nina,Vestido,Blusa,Pantalones,Limpiar,Cochino ,Arreglar ,Avion,Manejar,Vacaciones ,Banana,Banana,Banana,Drunk,Tequila,Barcadi,Artists,Music,Writers,Sweeping,Witches,Halloween ,Sickness,Clinic,Physical ,Small,Single,Space,Playing,games,Friends,Trash,Old,Used,Food,Supplies,Stores,Water,Pool,Rain,Cow,Cheeseburger,Steak,Beaches,Seashells,Families,Mirror,Past,Puddle,Football,Golf,Soccer,Airplane,Birds,Wings,Heartbroken ,Death,Cheating,Snow,Cold,Ice,English and Spanish,Spanish,Spanish and english,Spanish and english,Yes,Middle school through College,8 years,No,No,
sp141,Female,26,Yes,playa,mar,vacaciones,dinero,fraude,interesar,bicicleta,camino,viajar,arroz,pollo,pesos,california,avion,agua,cuarto,cama,ropas,correar,pesos,dieta,soccer,beisbol,pies,temperatura,enfermo,huesos,leche,caramelo,churros,hombre,nino,nina,boda,pantalones,piez,agua,sopa,jabon,avion,ropas,mar,banana,banana,banana,rum,whisky,drink,paint,piano,music,stick,flying,witch,nurse,coat,lab,rent,home,city,job,book,art,trash,take,box,store,food,pepper,water,sand,sea,cow,meat,industry,beach,toes,hot,water,mirror,myself,skates,ball,goal,plane,avion,sky,punish,blame,trouble,cold,snow,florida,English and Spanish,Spanish and English,"English primarily, but also Spanish","English primarily, but also Spanish",Yes,All throughout school,13 years,Yes,Yes,"USA, I live here"
sp142,Female,26,Yes,azul ,limpia ,beber ,dinero ,verde,govierno ,SUV ,transporte,carretera,rica,caliente,picosa ,viaje,dormir,cama ,sueño ,almohada,cobija ,fuerte ,músculo,musica ,pelota,grupo,equipo ,doctor,enfermeda ,jeringuilla,rico ,engordar ,tamarindo ,bonita,pelo ,vestido ,camiseta,vestido,zapato ,platos ,tierra,baño,fatigoso ,vuelo ,aeropuerto ,banana,banana,banana,drink,drunk,cocktail ,music,dance,sculpture,cleaning,sweeping,floor,nurse,needle,hospital,expensive,room,home,festival,friends,socializing,dirty,smelly,truck,food,necessities ,essentials,water,slippery,moist,meat,food,red,beach,castle,ocean,emotional,awareness,thought,tennis,fun,strong,airplane,superman,sky,pain,emotional,physical,cold,snow,coat,"Spanish, English","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,Yes,US
sp143,Female,26,Yes,lluvia,rio,mar,sentar,silla,dinero,llantas,gasolina,asguranza,plato,pollo,cuchara,cama,elevador,costo,siesta,cama,sueno,correr,gimnasio,calorias,pelota,gol,zacate,camilla,suero,inyeccion,paleta,bebida,nieve,falda,pelo,maquillaje,pantalon,camisa,calcetin,tierra,mal olor,negro,avion,carro,carretera,banana,banana,banana,drunk,party,fun,paint,unique,canvas,dust,chores,clean,medicine,cost,bloodwork,building,rent,landlord,laugh,smile,enjoy,dirty,smelly,bag,food,veggies,milk,water,hose,soak,cow,red,iron,beach,castle,shore,mirror ,think,write,run,ball,games,wings,air,float,kill,injure,pain,cold,snow,christmas,Spanish and English,spanish,spanish and english,spanish and english,Yes,elementary,2 years,No,Yes,Canada 3 months
sp144,Male,18,Yes,jugo,liquido,lago,dolores,credito,peso,automovil,manejar,estacionamiento,dulce,taco,frutas,noche,dormir,viaje,noches,cabecear,transponerse,correr,futbol,jugar,deportes,jugar,bola,clinica,ambulancia,doctor,leche,chamoy,leche,nina,mama,esposa,vestido,uniforme,ajuar,obsceno,immundo,cerdo,hotel,conduciendo,mexico,banana,banana,banana,depressed,drink,tired,paint,pencil,meaning,sweep,handle,mess,office,injury,sick,saving,live,pleasant,excite,run,hug,trash,rubbish,art,food,lettuce,milk,water,clothes,dog,cow,steak,meat,rocks,ocean,water,mirror,self,metal,football,run,soccer,planes,super,bird,injure,blood,bandaid,cold,snow,jacket,English and spanish,English and Spanish,English,English,Yes,Every year,12 years,Yes,Yes,United States for most of my life
sp145,Female,32,Yes,set ,Rio,Océano ,Dinero,Trabajo ,Inversiones ,Gasolina,Viaje,Silla,Cocina,Hambre,Manzana,Cama ,Viaja ,Familia,Cama,Almohada,Colcha,Sudor,Peso,Calor ,Soccer,Goal,Bolla,Enfermedad ,Doctor,Medicina,Helado,Postre,Bizcocho ,Mama,Bella ,Esposa,Suave,Cómodo ,Algodón ,Apestoso,Tierra,Fango,Carro,Bultos ,Divertido ,Banana,Banana,Banana,Sanitize ,Vodka,Margarita,Paint,Design,Drawing,Clean,Sweep,Dirty,Medicine ,Practice ,Sick ,Home,Small,Living,vacation ,Pool,Play,Dirty,Trash,Trash day ,Shopping,Food,Cooking,Water,Pool,Shower,Hamburger ,Spaghetti ,Cow,Beach ,Itchy,Castles,Mirror,Thoughtful ,Lake,Football,Soccer,Ball,Plane,Bird,Superman,Bandage ,Medicine,Pain,Cold ,Snow,Ice,English and Spanish ,Spanish ,Spanish and english,Spanish and English ,Yes,High school,6- but it was more like English writing not ESOL classes ,Yes,No,
sp146,Female,20,Yes,leche,oceano,playa,dinero,sorana,plaza,avion,gasolina,viajar,frijoles,pizza,dormir,cuarto,trivago,Las Vegas,acostar,sonar,descansar,sudar,basketball,corer ,futbol americano,bola,golaso,enfermedad,seguro social,medicina ,leche,pan,caramelo ,hombre,nina,nino,vestido,vestuaro ,limpia,tierra,bano,limpiar,avion,vacaciones,caro,banana,banana,banana,drugs,vodka,party,renaissance,museum,light academia,mop,floor,dust,dentist,pain,office,small,luxury ,home,happiness,joy,laughter,trash can,truck,dumpster,store,bag,produce,dry,dog,towel,meat ,drama,vegan,beach,pail,castle,mirror,thoughts,journal,basketball,run,volleyball,power,bird,plane,pain,evil,accident,cold,coat,snow,Spanish and English ,Spanish,Spanish and English,Spanish and English,Yes,high school,4 years,No,No,
sp147,Female,21,Yes,nadar,playa,sol,dinero,oro,negocio,coche,autobus,manejar,coche,buscar,carne,viajar,campar,vacation,por favor,necessito,gato,nadar,correr,deporte,deporte,americano,deportista,enfirma,roto,embarasada,leche,caramello,pastel,intelegente,yo,amiga,camisa,pantalones,zapato,bruto,hermano,limpiar,coche,aeropuerto,montana,banana,banana,banana,beer,wine,rum,painting,draw,pencil,clean,fly,witch,sick,broken,health,house,home,roommate,computer,cat,book,brother,stink,waste,food,vegetable,hungry,damp,dry,rain,steak,meat,pork,beach,shell,ocean,mirror,math,refraction,swimming,running,hockey,airplane,cloud,air,pain,broken,blood,cold,coat,snow,"English, some spanish","spanish, english",english,english,Yes,"high school, middle school, college",9 years,Yes,No,
sp148,Female,18,Yes,bebida,saludable ,comida,dinero,trabajo,seguridad,coche,rojo,dinero,felicidad,dinero,arroz,casa,trabajo,vacaciones,sueno,escuela,iglesia,saludable,comida,correr,jugar,correr,deporte ,clinica,enfermo,morir,abuela,postre,dulce de leche,mama,hija,Ella,zapatos,pantalones,gorro,hermano,cuarto,ropa,vacaciones,dinero,carro,banana,banana,banana,age,calories,drunk,paint,draw,school,chores,clean,mop,college,graduate,health,home,house,sleep,friends,vacation,weekend,trash,job,school,food,money,store,mop,water,pool,meat,problems,dairy,beach,summer,hot,essay,life,lesson,soccer,football,baseball,plane,airport,trip,harm,sadness,tears,cold,season,summer,English and Spanish,spanish ,spanish,spanish,Yes,"middle school, high school",8 years (all throughout school),No,Yes,Canada - 3 days
sp149,Male,26,Yes,vaso,ducha,lluvia,dinero,financia,prestamo,gasolina,calle,motor,desayuno,arroz,hambre,cuarto,vacacion,cama,almohada,cama,noche,correr,pesas,abdominales,pelota,barcelona,madrid,enfermo,esteril,triste,azucar,cafe,huevos,novia,familia,mama,camisa,pantalones,zapatos,escoba,polvo,tierra,hotel,avion,vacacion,banana,banana,banana,shots,beer,wine,painting,impressionism,colors,sweep,dirt,floor,pediatrician,surgeon,phd,small,rent,house,games,basketball,amusement,truck,bin,bag,produce,meat,bread,water,slippery,moist,cow,ground,steak,beach,dessert,castle,mirror,pond,light,basketball,football,soccer,bird,plane,wing,hit,pain,push,cold,snow,christmas,"english, spanish",spanish,"english, spanish","english, spanish",Yes,im from the US...all my school was in english,18 years,No,No,
